variable	variable2	values	mappedTerm	valueOrder
newsiteid	newsiteid	Bala HCIII (Kole District)	Bala HCIII (Kole District)	
newsiteid	newsiteid	Bbaale HCIV (Kayunga District)	Bbaale HCIV (Kayunga District)	
newsiteid	newsiteid	Bobi HCIII (Omoro District)	Bobi HCIII (Omoro District)	
newsiteid	newsiteid	Budondo HCIV (Jinja District)	Budondo HCIV (Jinja District)	
newsiteid	newsiteid	Bugaya HCIII (Buyende District)	Bugaya HCIII (Buyende District)	
newsiteid	newsiteid	Bukedea HCIII (Bukedea District)	Bukedea HCIII (Bukedea District)	
newsiteid	newsiteid	Bumanya HCIV (Kaliro District)	Bumanya HCIV (Kaliro District)	
newsiteid	newsiteid	Busitema HCIII (Busia District)	Busitema HCIII (Busia District)	
newsiteid	newsiteid	Butagaya HCIII (Jinja District)	Butagaya HCIII (Jinja District)	
newsiteid	newsiteid	Butema HCIII (Hoima District)	Butema HCIII (Hoima District)	
newsiteid	newsiteid	Buwaiswa HCIV (Mayuge District)	Buwaiswa HCIV (Mayuge District)	
newsiteid	newsiteid	Bwijanga HCIV (Masindi District)	Bwijanga HCIV (Masindi District)	
newsiteid	newsiteid	Cilio HCIII (Arua District)	Cilio HCIII (Arua District)	
newsiteid	newsiteid	Diima HCIII (Kiryandongo District)	Diima HCIII (Kiryandongo District)	
newsiteid	newsiteid	Dokolo HCIV (Dokolo District)	Dokolo HCIV (Dokolo District)	
newsiteid	newsiteid	Ikumbya HCIV (Luuka District)	Ikumbya HCIV (Luuka District)	
newsiteid	newsiteid	Kakabara HCIII (Kyegegwa District)	Kakabara HCIII (Kyegegwa District)	
newsiteid	newsiteid	Kalapata HCIII (Kaabong District)	Kalapata HCIII (Kaabong District)	
newsiteid	newsiteid	Kamaca HCIII (Kumi District)	Kamaca HCIII (Kumi District)	
newsiteid	newsiteid	Kangulumira HCIV (Kayunga District)	Kangulumira HCIV (Kayunga District)	
newsiteid	newsiteid	Kapelebyong HCIV (Kapelebyong District)	Kapelebyong HCIV (Kapelebyong District)	
newsiteid	newsiteid	Kasambya HCIII (Mubende District)	Kasambya HCIII (Mubende District)	
newsiteid	newsiteid	Kibaale HCIV (Kibaale District)	Kibaale HCIV (Kibaale District)	
newsiteid	newsiteid	Kidera HCIV (Buyende District)	Kidera HCIV (Buyende District)	
newsiteid	newsiteid	Kigandalo HCIII (Mayuge District)	Kigandalo HCIII (Mayuge District)	
newsiteid	newsiteid	Kigorobya HCIV (Hoima District)	Kigorobya HCIV (Hoima District)	
newsiteid	newsiteid	Kigumba HCIII (Kiryandongo District)	Kigumba HCIII (Kiryandongo District)	
newsiteid	newsiteid	Kihihi HCIV (Kanungu District)	Kihihi HCIV (Kanungu District)	
newsiteid	newsiteid	Kitgum-Matidi HCIII (Kitgum District)	Kitgum-Matidi HCIII (Kitgum District)	
newsiteid	newsiteid	Kiyunga HCIV (Luuka District)	Kiyunga HCIV (Luuka District)	
newsiteid	newsiteid	Kiyuni HCIII (Mubende District)	Kiyuni HCIII (Mubende District)	
newsiteid	newsiteid	Koch Goma HCIV (Nwoya District)	Koch Goma HCIV (Nwoya District)	
newsiteid	newsiteid	Kolir HCIII (Bukedea District)	Kolir HCIII (Bukedea District)	
newsiteid	newsiteid	Kyatiri HCIII (Masindi District)	Kyatiri HCIII (Masindi District)	
newsiteid	newsiteid	Kyebando HCIII (Kibaale District)	Kyebando HCIII (Kibaale District)	
newsiteid	newsiteid	Kyegegwa HCIV (Kyegegwa District)	Kyegegwa HCIV (Kyegegwa District)	
newsiteid	newsiteid	Lalogi HCIV (Omoro District)	Lalogi HCIV (Omoro District)	
newsiteid	newsiteid	Lefori HCIII (Moyo District)	Lefori HCIII (Moyo District)	
newsiteid	newsiteid	Lira-Kato HCIII (Agago District)	Lira-Kato HCIII (Agago District)	
newsiteid	newsiteid	Lobule HCIII (Koboko District)	Lobule HCIII (Koboko District)	
newsiteid	newsiteid	Lokolia HCIII (Kaabong District)	Lokolia HCIII (Kaabong District)	
newsiteid	newsiteid	Lumino HCIII (Busia District)	Lumino HCIII (Busia District)	
newsiteid	newsiteid	Madi-Opei HCIII (Lamwo District)	Madi-Opei HCIII (Lamwo District)	
newsiteid	newsiteid	Metu HCIII (Moyo District)	Metu HCIII (Moyo District)	
newsiteid	newsiteid	Morungatuny HCIII (Amuria Distric)	Morungatuny HCIII (Amuria Distric)	
newsiteid	newsiteid	Nagongera HCIV (Tororo District)	Nagongera HCIV (Tororo District)	
newsiteid	newsiteid	Namokora HCIV (Kitgum District)	Namokora HCIV (Kitgum District)	
newsiteid	newsiteid	Nawaikoke HCIII (Kaliro District)	Nawaikoke HCIII (Kaliro District)	
newsiteid	newsiteid	Obalanga HCIII (Kapelebyong District)	Obalanga HCIII (Kapelebyong District)	
newsiteid	newsiteid	Omatenga HCIII (Kumi District)	Omatenga HCIII (Kumi District)	
newsiteid	newsiteid	Opia HCIII (Arua District)	Opia HCIII (Arua District)	
newsiteid	newsiteid	Orum HCIV (Otuke District)	Orum HCIV (Otuke District)	
newsiteid	newsiteid	Otwal HCIII (Oyam District)	Otwal HCIII (Oyam District)	
newsiteid	newsiteid	Pabwo HCIII (Gulu District)	Pabwo HCIII (Gulu District)	
newsiteid	newsiteid	Padibe HCIV (Lamwo District)	Padibe HCIV (Lamwo District)	
newsiteid	newsiteid	Patongo HCIII (Agago District)	Patongo HCIII (Agago District)	
newsiteid	newsiteid	Teboke HCIII (Apac District)	Teboke HCIII (Apac District)	
