IRI,label,clinEpi_label,definition,category,parentIRI,parentLabel,termType,unitLabel,unitIRI
http://purl.obolibrary.org/obo/EUPATH_0043130,lethal insecticide concentration 95 in parts per notation unit,,,Insecticide resistance assay,http://purl.obolibrary.org/obo/OBI_0002695,Insecticide resistance assay,variable,,
http://purl.obolibrary.org/obo/EUPATH_0043136,lethal insecticide concentration 99 in parts per notation unit,,,Insecticide resistance assay,http://purl.obolibrary.org/obo/OBI_0002695,Insecticide resistance assay,variable,parts per million,http://purl.obolibrary.org/obo/UO_0000169
http://purl.obolibrary.org/obo/EUPATH_0043148,lethal insecticide concentration 90 in parts per notation unit,,,Insecticide resistance assay,http://purl.obolibrary.org/obo/OBI_0002695,Insecticide resistance assay,variable,parts per million,http://purl.obolibrary.org/obo/UO_0000169
http://purl.obolibrary.org/obo/EUPATH_0043118,insecticide concentration in parts per notation unit,,,Insecticide resistance assay,http://purl.obolibrary.org/obo/OBI_0002695,Insecticide resistance assay,variable,parts per million,http://purl.obolibrary.org/obo/UO_0000169
http://purl.obolibrary.org/obo/EUPATH_0000792,lethal insecticide time 50,,,Insecticide resistance assay,http://purl.obolibrary.org/obo/OBI_0002695,Insecticide resistance assay,variable,minute,http://purl.obolibrary.org/obo/UO_0000031
http://purl.obolibrary.org/obo/EUPATH_0043145,lethal insecticide time 90,,,Insecticide resistance assay,http://purl.obolibrary.org/obo/OBI_0002695,Insecticide resistance assay,variable,minute,http://purl.obolibrary.org/obo/UO_0000031
http://purl.obolibrary.org/obo/EUPATH_0043146,lethal insecticide time 95,,,Insecticide resistance assay,http://purl.obolibrary.org/obo/OBI_0002695,Insecticide resistance assay,variable,minute,http://purl.obolibrary.org/obo/UO_0000031
http://purl.obolibrary.org/obo/EUPATH_0043064,duration time of insecticide exposure,,,Insecticide resistance assay,http://purl.obolibrary.org/obo/OBI_0002695,Insecticide resistance assay,variable,,
http://purl.obolibrary.org/obo/EUPATH_0043150,lethal insecticide concentration 90 in mass density unit,,,Insecticide resistance assay,http://purl.obolibrary.org/obo/OBI_0002695,Insecticide resistance assay,variable,milligram per liter,http://purl.obolibrary.org/obo/UO_0000273
http://purl.obolibrary.org/obo/PATO_0000033,concentration of,,,Insecticide resistance assay,http://purl.obolibrary.org/obo/OBI_0002695,Insecticide resistance assay,variable,,
http://purl.obolibrary.org/obo/EUPATH_0043119,insecticide concentration in area density unit,,,Insecticide resistance assay,http://purl.obolibrary.org/obo/OBI_0002695,Insecticide resistance assay,variable,milligram per square meter,http://purl.obolibrary.org/obo/UO_0000309
http://purl.obolibrary.org/obo/EUPATH_0043121,insecticide concentration in mass per standard assay bottle,,,Insecticide resistance assay,http://purl.obolibrary.org/obo/OBI_0002695,Insecticide resistance assay,variable,,
http://purl.obolibrary.org/obo/OBI_0001898,comment on investigation,,,Insecticide resistance assay,http://purl.obolibrary.org/obo/OBI_0002695,Insecticide resistance assay,variable,,
http://purl.obolibrary.org/obo/MIRO_10000239,group1.insecticidal substance,,,Insecticide resistance assay,http://purl.obolibrary.org/obo/OBI_0002695,Insecticide resistance assay,variable,,
http://purl.obolibrary.org/obo/PATO_0000033,group1.concentration of,,,Insecticide resistance assay,http://purl.obolibrary.org/obo/OBI_0002695,Insecticide resistance assay,variable,milligram per square meter,http://purl.obolibrary.org/obo/EFO_0004373
http://purl.obolibrary.org/obo/EUPATH_0043123,lethal insecticide concentration 50 in percent,,,Insecticide resistance assay,http://purl.obolibrary.org/obo/OBI_0002695,Insecticide resistance assay,variable,percent,http://purl.obolibrary.org/obo/UO_0000187
http://purl.obolibrary.org/obo/EUPATH_0043196,lethal insecticide concentration 100 in percent,,,Insecticide resistance assay,http://purl.obolibrary.org/obo/OBI_0002695,Insecticide resistance assay,variable,percent,http://purl.obolibrary.org/obo/UO_0000187
http://purl.obolibrary.org/obo/EUPATH_0043127,lethal insecticide concentration 50 in mass per standard assay bottle,,,Insecticide resistance assay,http://purl.obolibrary.org/obo/OBI_0002695,Insecticide resistance assay,variable,micrograms per wheaton bottle,http://purl.obolibrary.org/obo/UO_0010053
http://purl.obolibrary.org/obo/EUPATH_0043154,population fraction with greater enzymatic activity than 99th percentile of reference population,,,Insecticide resistance assay,http://purl.obolibrary.org/obo/OBI_0002695,Insecticide resistance assay,variable,,
http://purl.obolibrary.org/obo/EUPATH_0043138,lethal insecticide concentration 99 in mass density unit,,,Insecticide resistance assay,http://purl.obolibrary.org/obo/OBI_0002695,Insecticide resistance assay,variable,milligram per liter,http://purl.obolibrary.org/obo/UO_0000273
http://purl.obolibrary.org/obo/EUPATH_0043147,median knockdown time,,,Insecticide resistance assay,http://purl.obolibrary.org/obo/OBI_0002695,Insecticide resistance assay,variable,minute,http://purl.obolibrary.org/obo/UO_0000031
http://purl.obolibrary.org/obo/EUPATH_0043125,lethal insecticide concentration 50 in area density unit,,,Insecticide resistance assay,http://purl.obolibrary.org/obo/OBI_0002695,Insecticide resistance assay,variable,gram per square meter,http://purl.obolibrary.org/obo/UO_0010049
http://purl.obolibrary.org/obo/EUPATH_0043131,lethal insecticide concentration 95 in area density unit,,,Insecticide resistance assay,http://purl.obolibrary.org/obo/OBI_0002695,Insecticide resistance assay,variable,gram per square meter,http://purl.obolibrary.org/obo/UO_0010049
http://purl.obolibrary.org/obo/EUPATH_0043153,ratio of specimen population median enzymatic activity to that of reference specimen population,,,Insecticide resistance assay,http://purl.obolibrary.org/obo/OBI_0002695,Insecticide resistance assay,variable,new median ratio term,http://purl.obolibrary.org/obo/EUPATH_0043141
http://purl.obolibrary.org/obo/EUPATH_0043152,ratio of specimen population mean enzymatic activity to that of reference specimen population,,,Insecticide resistance assay,http://purl.obolibrary.org/obo/OBI_0002695,Insecticide resistance assay,variable,new mean ratio term,http://purl.obolibrary.org/obo/EUPATH_0043140
http://purl.obolibrary.org/obo/EUPATH_0010889,presence of pathogen,"Any pathogen, by any method",,Pathogen detection assay,http://purl.obolibrary.org/obo/OBI_0002728,Pathogen detection assay,variable,,
http://purl.obolibrary.org/obo/EUPATH_0043155,number of input specimens to assay,,,Pathogen detection assay,http://purl.obolibrary.org/obo/OBI_0002728,Pathogen detection assay,variable,,
http://purl.obolibrary.org/obo/EUPATH_0000756,pathogen organism,,,Pathogen detection assay,http://purl.obolibrary.org/obo/OBI_0002728,Pathogen detection assay,variable,,
http://purl.obolibrary.org/obo/OBI_0002992,prevalence of pathogen in specimens,,,Pathogen detection assay,http://purl.obolibrary.org/obo/OBI_0002728,Pathogen detection assay,variable,percent,http://purl.obolibrary.org/obo/UO_0000187
http://purl.obolibrary.org/obo/OBI_0001185,selectively maintained organism,,,Pathogen detection assay,http://purl.obolibrary.org/obo/OBI_0002728,Pathogen detection assay,variable,,
http://purl.obolibrary.org/obo/OBI_0001898,comment on investigation,,,Pathogen detection assay,http://purl.obolibrary.org/obo/OBI_0002728,Pathogen detection assay,variable,,
http://purl.obolibrary.org/obo/OBI_0002994,blood meal host presence,,,Blood meal assay,http://purl.obolibrary.org/obo/OBI_0002732,Blood meal assay,variable,,
http://purl.obolibrary.org/obo/OBI_0002995,blood meal host organism,,,Blood meal assay,http://purl.obolibrary.org/obo/OBI_0002732,Blood meal assay,variable,,
http://purl.obolibrary.org/obo/OBI_0002993,prevalence of blood meal specimens from a host organism,,,Blood meal assay,http://purl.obolibrary.org/obo/OBI_0002732,Blood meal assay,variable,percent,http://purl.obolibrary.org/obo/UO_0000187
http://purl.obolibrary.org/obo/EUPATH_0043155,number of input specimens to assay,,,Blood meal assay,http://purl.obolibrary.org/obo/OBI_0002732,Blood meal assay,variable,,
http://purl.obolibrary.org/obo/OBI_0001898,comment on investigation,,,Blood meal assay,http://purl.obolibrary.org/obo/OBI_0002732,Blood meal assay,variable,,
http://purl.obolibrary.org/obo/EUPATH_0043155,number of input specimens to assay,,,Phenotype assay,http://purl.obolibrary.org/obo/EUPATH_0000609,specimen information,variable,,
http://purl.obolibrary.org/obo/OBI_0002993,prevalence of blood meal specimens from a host organism,,,Phenotype assay,http://purl.obolibrary.org/obo/EUPATH_0000609,specimen information,variable,percent,http://purl.obolibrary.org/obo/UO_0000187
http://purl.obolibrary.org/obo/GAZ_00000448,Collection site,Geographic location,,,http://www.w3.org/2002/07/owl#Thing,,category,,
http://purl.obolibrary.org/obo/OBI_0600005,Collection,Sample collection process,,,http://purl.obolibrary.org/obo/EUPATH_0000609,specimen information,category,,
http://purl.obolibrary.org/obo/OBI_0001624,Organism identification assay,,,,http://purl.obolibrary.org/obo/OBI_0000070,Assay,category,,
http://purl.obolibrary.org/obo/OBI_0000435,Genotyping assay,,,,http://purl.obolibrary.org/obo/OBI_0000070,Assay,category,,
http://purl.obolibrary.org/obo/OBI_0002695,Insecticide resistance assay,,,,http://purl.obolibrary.org/obo/OBI_0000070,Assay,category,,
http://purl.obolibrary.org/obo/OBI_0002728,Pathogen detection assay,,,,http://purl.obolibrary.org/obo/OBI_0000070,Assay,category,,
http://purl.obolibrary.org/obo/OBI_0002732,Blood meal assay,,,,http://purl.obolibrary.org/obo/OBI_0000070,Assay,category,,
http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,,,,http://purl.obolibrary.org/obo/GAZ_00000448,Collection site,category,,
http://purl.obolibrary.org/obo/OBI_0000070,Assay,,,,http://www.w3.org/2002/07/owl#Thing,,category,,
http://purl.obolibrary.org/obo/EUPATH_0000104,Organism under investigation,,,,http://www.w3.org/2002/07/owl#Thing,,category,,
,,,,,http://www.w3.org/2002/07/owl#Thing,,,,
