variable	variable2	values	mappedTerm	valueOrder
avenir census and treatment data clinepi round 1::form.childrenrepeat.childrengroup.childsex	avenir census and treatment data clinepi round 1::form.childrenrepeat.childrengroup.childsex	1	Male	
avenir census and treatment data clinepi round 1::form.childrenrepeat.childrengroup.childsex	avenir census and treatment data clinepi round 1::form.childrenrepeat.childrengroup.childsex	2	Female	
avenir census and treatment data clinepi round 1::form.childrenrepeat.childrengroup.ageinmonths	avenir census and treatment data clinepi round 1::form.childrenrepeat.childrengroup.ageinmonths	NA	:::UNDEF:::	
avenir census and treatment data clinepi round 1::form.childrenrepeat.childrengroup.dobsource	avenir census and treatment data clinepi round 1::form.childrenrepeat.childrengroup.dobsource	Avec le carnet de santé		
avenir census and treatment data clinepi round 1::form.childrenrepeat.childrengroup.dobsource	avenir census and treatment data clinepi round 1::form.childrenrepeat.childrengroup.dobsource	Avec le certificat de naissance	Birth certificate	
avenir census and treatment data clinepi round 1::form.childrenrepeat.childrengroup.dobsource	avenir census and treatment data clinepi round 1::form.childrenrepeat.childrengroup.dobsource	Avec un autre document	Other document	
avenir census and treatment data clinepi round 1::form.childrenrepeat.childrengroup.dobsource	avenir census and treatment data clinepi round 1::form.childrenrepeat.childrengroup.dobsource	NA	:::UNDEF:::	
avenir census and treatment data clinepi round 1::form.childrenrepeat.childrengroup.dobsource	avenir census and treatment data clinepi round 1::form.childrenrepeat.childrengroup.dobsource	Quelqu’un m’a dit la date	Told by someone	
avenir census and treatment data clinepi round 1::form.childrenrepeat.childrengroup.dobsourceotherdoc	avenir census and treatment data clinepi round 1::form.childrenrepeat.childrengroup.dobsourceotherdoc	NA	:::UNDEF:::	
avenir census and treatment data clinepi round 1::form.childrenrepeat.childrengroup.dobsourcewho	avenir census and treatment data clinepi round 1::form.childrenrepeat.childrengroup.dobsourcewho	1	Mother	
avenir census and treatment data clinepi round 1::form.childrenrepeat.childrengroup.dobsourcewho	avenir census and treatment data clinepi round 1::form.childrenrepeat.childrengroup.dobsourcewho	2	Father	
avenir census and treatment data clinepi round 1::form.childrenrepeat.childrengroup.dobsourcewho	avenir census and treatment data clinepi round 1::form.childrenrepeat.childrengroup.dobsourcewho	3	Neighbor	
avenir census and treatment data clinepi round 1::form.childrenrepeat.childrengroup.dobsourcewho	avenir census and treatment data clinepi round 1::form.childrenrepeat.childrengroup.dobsourcewho	99	Others	
avenir census and treatment data clinepi round 1::form.childrenrepeat.childrengroup.dobsourcewho	avenir census and treatment data clinepi round 1::form.childrenrepeat.childrengroup.dobsourcewho	NA	:::UNDEF:::	
avenir census and treatment data clinepi round 1::form.childrenrepeat.childrengroup.dobsourcewhoother	avenir census and treatment data clinepi round 1::form.childrenrepeat.childrengroup.dobsourcewhoother	NA	:::UNDEF:::	
avenir census and treatment data clinepi round 1::form.treatment_letter_1_11.cen	avenir census and treatment data clinepi round 1::form.treatment_letter_1_11.cen	NA	:::UNDEF:::	
avenir census and treatment data clinepi round 1::form.treatment_letter_1_11.cen	avenir census and treatment data clinepi round 1::form.treatment_letter_1_11.cen	b	B	
avenir census and treatment data clinepi round 1::form.treatment_letter_1_11.cen	avenir census and treatment data clinepi round 1::form.treatment_letter_1_11.cen	c	C	
avenir census and treatment data clinepi round 1::form.treatment_letter_1_11.cen	avenir census and treatment data clinepi round 1::form.treatment_letter_1_11.cen	f	F	
avenir census and treatment data clinepi round 1::form.treatment_letter_1_11.cen	avenir census and treatment data clinepi round 1::form.treatment_letter_1_11.cen	g	G	
avenir census and treatment data clinepi round 1::form.treatment_letter_1_11.cen	avenir census and treatment data clinepi round 1::form.treatment_letter_1_11.cen	k	K	
avenir census and treatment data clinepi round 1::form.treatment_letter_1_11.cen	avenir census and treatment data clinepi round 1::form.treatment_letter_1_11.cen	m	M	
avenir census and treatment data clinepi round 1::form.treatment_letter_1_11.cen	avenir census and treatment data clinepi round 1::form.treatment_letter_1_11.cen	q	Q	
avenir census and treatment data clinepi round 1::form.treatment_letter_1_11.cen	avenir census and treatment data clinepi round 1::form.treatment_letter_1_11.cen	s	S	
avenir census and treatment data clinepi round 1::form.treatment_letter_1_11.cen	avenir census and treatment data clinepi round 1::form.treatment_letter_1_11.cen	t	T	
avenir census and treatment data clinepi round 1::form.treatment_letter_1_11.cen	avenir census and treatment data clinepi round 1::form.treatment_letter_1_11.cen	v	V	
avenir census and treatment data clinepi round 1::form.treatment_letter_1_11.cen	avenir census and treatment data clinepi round 1::form.treatment_letter_1_11.cen	x	X	
avenir census and treatment data clinepi round 1::form.treatment_letter_1_11.cen	avenir census and treatment data clinepi round 1::form.treatment_letter_1_11.cen	y	Y	
avenir census and treatment data clinepi round 1::form.treatment_letter_12_59.cen	avenir census and treatment data clinepi round 1::form.treatment_letter_12_59.cen	A	A	
avenir census and treatment data clinepi round 1::form.treatment_letter_12_59.cen	avenir census and treatment data clinepi round 1::form.treatment_letter_12_59.cen	D	D	
avenir census and treatment data clinepi round 1::form.treatment_letter_12_59.cen	avenir census and treatment data clinepi round 1::form.treatment_letter_12_59.cen	E	E	
avenir census and treatment data clinepi round 1::form.treatment_letter_12_59.cen	avenir census and treatment data clinepi round 1::form.treatment_letter_12_59.cen	H	H	
avenir census and treatment data clinepi round 1::form.treatment_letter_12_59.cen	avenir census and treatment data clinepi round 1::form.treatment_letter_12_59.cen	J	J	
avenir census and treatment data clinepi round 1::form.treatment_letter_12_59.cen	avenir census and treatment data clinepi round 1::form.treatment_letter_12_59.cen	L	L	
avenir census and treatment data clinepi round 1::form.treatment_letter_12_59.cen	avenir census and treatment data clinepi round 1::form.treatment_letter_12_59.cen	N	N	
avenir census and treatment data clinepi round 1::form.treatment_letter_12_59.cen	avenir census and treatment data clinepi round 1::form.treatment_letter_12_59.cen	NA	:::UNDEF:::	
avenir census and treatment data clinepi round 1::form.treatment_letter_12_59.cen	avenir census and treatment data clinepi round 1::form.treatment_letter_12_59.cen	P	P	
avenir census and treatment data clinepi round 1::form.treatment_letter_12_59.cen	avenir census and treatment data clinepi round 1::form.treatment_letter_12_59.cen	R	R	
avenir census and treatment data clinepi round 1::form.treatment_letter_12_59.cen	avenir census and treatment data clinepi round 1::form.treatment_letter_12_59.cen	U	U	
avenir census and treatment data clinepi round 1::form.treatment_letter_12_59.cen	avenir census and treatment data clinepi round 1::form.treatment_letter_12_59.cen	W	W	
avenir census and treatment data clinepi round 1::form.treatment_letter_12_59.cen	avenir census and treatment data clinepi round 1::form.treatment_letter_12_59.cen	Z	Z	
avenir census and treatment data clinepi round 1::form.hhnumber	avenir census and treatment data clinepi round 1::form.hhnumber	NA	:::UNDEF:::	
avenir census and treatment data clinepi round 1::form.hohsex	avenir census and treatment data clinepi round 1::form.hohsex	1	Male	
avenir census and treatment data clinepi round 1::form.hohsex	avenir census and treatment data clinepi round 1::form.hohsex	2	Female	
avenir census and treatment data clinepi round 1::form.childrenrepeat.childrengroup.treatmentconsent	avenir census and treatment data clinepi round 1::form.childrenrepeat.childrengroup.treatmentconsent	0	No	
avenir census and treatment data clinepi round 1::form.childrenrepeat.childrengroup.treatmentconsent	avenir census and treatment data clinepi round 1::form.childrenrepeat.childrengroup.treatmentconsent	1	Yes	
avenir census and treatment data clinepi round 1::form.childrenrepeat.childrengroup.treatmentconsent	avenir census and treatment data clinepi round 1::form.childrenrepeat.childrengroup.treatmentconsent	NA	:::UNDEF:::	
avenir census and treatment data clinepi round 1::form.childrenrepeat.childrengroup.notreatreason	avenir census and treatment data clinepi round 1::form.childrenrepeat.childrengroup.notreatreason	1	Allergy	
avenir census and treatment data clinepi round 1::form.childrenrepeat.childrengroup.notreatreason	avenir census and treatment data clinepi round 1::form.childrenrepeat.childrengroup.notreatreason	2	Parent refusal	
avenir census and treatment data clinepi round 1::form.childrenrepeat.childrengroup.notreatreason	avenir census and treatment data clinepi round 1::form.childrenrepeat.childrengroup.notreatreason	99	Other	
avenir census and treatment data clinepi round 1::form.childrenrepeat.childrengroup.notreatreason	avenir census and treatment data clinepi round 1::form.childrenrepeat.childrengroup.notreatreason	NA	:::UNDEF:::	
avenir census and treatment data clinepi round 1::form.childrenrepeat.childrengroup.notreatreasonother	avenir census and treatment data clinepi round 1::form.childrenrepeat.childrengroup.notreatreasonother	NA	:::UNDEF:::	
avenir census and treatment data clinepi round 1::form.childpresent	avenir census and treatment data clinepi round 1::form.childpresent	0	No	
avenir census and treatment data clinepi round 1::form.childpresent	avenir census and treatment data clinepi round 1::form.childpresent	1	Yes	
avenir census and treatment data clinepi round 1::form.childpresent	avenir census and treatment data clinepi round 1::form.childpresent	NA	:::UNDEF:::	
avenir census and treatment data clinepi round 1::form.childreturnhome	avenir census and treatment data clinepi round 1::form.childreturnhome	1	Less than a week	
avenir census and treatment data clinepi round 1::form.childreturnhome	avenir census and treatment data clinepi round 1::form.childreturnhome	2	More than a week	
avenir census and treatment data clinepi round 1::form.childreturnhome	avenir census and treatment data clinepi round 1::form.childreturnhome	NA	:::UNDEF:::	
avenir census and treatment data clinepi round 1::form.weight	avenir census and treatment data clinepi round 1::form.weight	NA	:::UNDEF:::	
avenir census and treatment data clinepi round 1::form.isadministered	avenir census and treatment data clinepi round 1::form.isadministered	0	No	
avenir census and treatment data clinepi round 1::form.isadministered	avenir census and treatment data clinepi round 1::form.isadministered	1	Yes	
avenir census and treatment data clinepi round 1::form.isadministered	avenir census and treatment data clinepi round 1::form.isadministered	NA	:::UNDEF:::	
avenir census and treatment data clinepi round 1::form.notreatreason	avenir census and treatment data clinepi round 1::form.notreatreason	1	Allergy	
avenir census and treatment data clinepi round 1::form.notreatreason	avenir census and treatment data clinepi round 1::form.notreatreason	2	Parent refusal	
avenir census and treatment data clinepi round 1::form.notreatreason	avenir census and treatment data clinepi round 1::form.notreatreason	99	Other	
avenir census and treatment data clinepi round 1::form.notreatreason	avenir census and treatment data clinepi round 1::form.notreatreason	NA	:::UNDEF:::	
avenir census and treatment data clinepi round 2::round	avenir census and treatment data clinepi round 2::round	2	Round 2	
avenir census and treatment data clinepi round 2::round	avenir census and treatment data clinepi round 2::round	2	Round 2	
avenir census and treatment data clinepi round 2::childid_public	avenir census and treatment data clinepi round 2::childid_public	NA	:::UNDEF:::	
avenir census and treatment data clinepi round 2::form.region.cen	avenir census and treatment data clinepi round 2::form.region.cen	Dosso	Dosso	
avenir census and treatment data clinepi round 2::form.district	avenir census and treatment data clinepi round 2::form.district	Boboye	Boboye	
avenir census and treatment data clinepi round 2::form.district	avenir census and treatment data clinepi round 2::form.district	Dioundiou	Dioundiou	
avenir census and treatment data clinepi round 2::form.district	avenir census and treatment data clinepi round 2::form.district	Dogondoutchi	Dogondoutchi	
avenir census and treatment data clinepi round 2::form.district	avenir census and treatment data clinepi round 2::form.district	Dosso	Dosso	
avenir census and treatment data clinepi round 2::form.district	avenir census and treatment data clinepi round 2::form.district	Falmey	Falmey	
avenir census and treatment data clinepi round 2::form.district	avenir census and treatment data clinepi round 2::form.district	Gaya	Gaya	
avenir census and treatment data clinepi round 2::form.district	avenir census and treatment data clinepi round 2::form.district	Loga	Loga	
avenir census and treatment data clinepi round 2::form.district	avenir census and treatment data clinepi round 2::form.district	Tibiri (Doutchi)	Tibiri (Doutchi)	
avenir census and treatment data clinepi round 2::form.hhconsent	avenir census and treatment data clinepi round 2::form.hhconsent	1	Yes	
avenir census and treatment data clinepi round 2::form.hhreasonrefused	avenir census and treatment data clinepi round 2::form.hhreasonrefused	NA	:::UNDEF:::	
avenir census and treatment data clinepi round 2::form.hhreasonrefusedother	avenir census and treatment data clinepi round 2::form.hhreasonrefusedother	NA	:::UNDEF:::	
avenir census and treatment data clinepi round 2::childsex	avenir census and treatment data clinepi round 2::childsex	1	Male	
avenir census and treatment data clinepi round 2::childsex	avenir census and treatment data clinepi round 2::childsex	2	Female	
avenir census and treatment data clinepi round 2::ageinmonths	avenir census and treatment data clinepi round 2::ageinmonths	NA	:::UNDEF:::	
avenir census and treatment data clinepi round 2::dobsource	avenir census and treatment data clinepi round 2::dobsource	1	Father	
avenir census and treatment data clinepi round 2::dobsource	avenir census and treatment data clinepi round 2::dobsource	2	Mother	
avenir census and treatment data clinepi round 2::dobsource	avenir census and treatment data clinepi round 2::dobsource	3	Neighbor	
avenir census and treatment data clinepi round 2::dobsource	avenir census and treatment data clinepi round 2::dobsource	4	Others	
avenir census and treatment data clinepi round 2::dobsource	avenir census and treatment data clinepi round 2::dobsource	NA	:::UNDEF:::	
avenir census and treatment data clinepi round 2::dobsourceotherdoc	avenir census and treatment data clinepi round 2::dobsourceotherdoc	NA	:::UNDEF:::	
avenir census and treatment data clinepi round 2::dobsourceotherdoc	avenir census and treatment data clinepi round 2::dobsourceotherdoc	acte de naissance	Birth certificate	
avenir census and treatment data clinepi round 2::dobsourceotherdoc	avenir census and treatment data clinepi round 2::dobsourceotherdoc	carnet	Notebook	
avenir census and treatment data clinepi round 2::dobsourceotherdoc	avenir census and treatment data clinepi round 2::dobsourceotherdoc	carnet de distribution	Distribution book	
avenir census and treatment data clinepi round 2::dobsourceotherdoc	avenir census and treatment data clinepi round 2::dobsourceotherdoc	carnet de ditribution de masse	Mass distribution book	
avenir census and treatment data clinepi round 2::dobsourceotherdoc	avenir census and treatment data clinepi round 2::dobsourceotherdoc	carnet de vaccinatiion	Vaccination record	
avenir census and treatment data clinepi round 2::dobsourceotherdoc	avenir census and treatment data clinepi round 2::dobsourceotherdoc	carte de distribution	Distribution card	
avenir census and treatment data clinepi round 2::dobsourceotherdoc	avenir census and treatment data clinepi round 2::dobsourceotherdoc	carte de vaccination	Vaccination card	
avenir census and treatment data clinepi round 2::dobsourcewho	avenir census and treatment data clinepi round 2::dobsourcewho	1	Father	
avenir census and treatment data clinepi round 2::dobsourcewho	avenir census and treatment data clinepi round 2::dobsourcewho	2	Mother	
avenir census and treatment data clinepi round 2::dobsourcewho	avenir census and treatment data clinepi round 2::dobsourcewho	3	Neighbor	
avenir census and treatment data clinepi round 2::dobsourcewho	avenir census and treatment data clinepi round 2::dobsourcewho	99	Others	
avenir census and treatment data clinepi round 2::dobsourcewho	avenir census and treatment data clinepi round 2::dobsourcewho	NA	:::UNDEF:::	
avenir census and treatment data clinepi round 2::dobsourcewhoother	avenir census and treatment data clinepi round 2::dobsourcewhoother	Gardienne	Guardian	
avenir census and treatment data clinepi round 2::dobsourcewhoother	avenir census and treatment data clinepi round 2::dobsourcewhoother	Grand mere	Grandmother	
avenir census and treatment data clinepi round 2::dobsourcewhoother	avenir census and treatment data clinepi round 2::dobsourcewhoother	Grande Mere	Grandmother	
avenir census and treatment data clinepi round 2::dobsourcewhoother	avenir census and treatment data clinepi round 2::dobsourcewhoother	NA	:::UNDEF:::	
avenir census and treatment data clinepi round 2::dobsourcewhoother	avenir census and treatment data clinepi round 2::dobsourcewhoother	Son frere	Brother	
avenir census and treatment data clinepi round 2::dobsourcewhoother	avenir census and treatment data clinepi round 2::dobsourcewhoother	Tante	Aunt	
avenir census and treatment data clinepi round 2::dobsourcewhoother	avenir census and treatment data clinepi round 2::dobsourcewhoother	belle soeur	Sister in law	
avenir census and treatment data clinepi round 2::dobsourcewhoother	avenir census and treatment data clinepi round 2::dobsourcewhoother	coepouse	Co-wife	
avenir census and treatment data clinepi round 2::dobsourcewhoother	avenir census and treatment data clinepi round 2::dobsourcewhoother	grand mere	Grandmother	
avenir census and treatment data clinepi round 2::dobsourcewhoother	avenir census and treatment data clinepi round 2::dobsourcewhoother	grand pere	Grandfather	
avenir census and treatment data clinepi round 2::dobsourcewhoother	avenir census and treatment data clinepi round 2::dobsourcewhoother	grand.mere	Grandmother	
avenir census and treatment data clinepi round 2::dobsourcewhoother	avenir census and treatment data clinepi round 2::dobsourcewhoother	grande mere	Grandmother	
avenir census and treatment data clinepi round 2::dobsourcewhoother	avenir census and treatment data clinepi round 2::dobsourcewhoother	grande mére	Grandmother	
avenir census and treatment data clinepi round 2::dobsourcewhoother	avenir census and treatment data clinepi round 2::dobsourcewhoother	grande soeur	Older sister	
avenir census and treatment data clinepi round 2::dobsourcewhoother	avenir census and treatment data clinepi round 2::dobsourcewhoother	la grand mere	Grandmother	
avenir census and treatment data clinepi round 2::dobsourcewhoother	avenir census and treatment data clinepi round 2::dobsourcewhoother	oncle	Uncle	
avenir census and treatment data clinepi round 2::dobsourcewhoother	avenir census and treatment data clinepi round 2::dobsourcewhoother	relais principal	Main relay	
avenir census and treatment data clinepi round 2::dobsourcewhoother	avenir census and treatment data clinepi round 2::dobsourcewhoother	soeur	Sister in law	
avenir census and treatment data clinepi round 2::dobsourcewhoother	avenir census and treatment data clinepi round 2::dobsourcewhoother	son grand frere	Brother	
avenir census and treatment data clinepi round 2::dobsourcewhoother	avenir census and treatment data clinepi round 2::dobsourcewhoother	son oncle	Uncle	
avenir census and treatment data clinepi round 2::dobsourcewhoother	avenir census and treatment data clinepi round 2::dobsourcewhoother	tante	Aunt	
avenir census and treatment data clinepi round 2::dobsourcewhoother	avenir census and treatment data clinepi round 2::dobsourcewhoother	tonton	Uncle	
avenir census and treatment data clinepi round 2::form.treatment_letter_1_11.cen	avenir census and treatment data clinepi round 2::form.treatment_letter_1_11.cen	b	B	
avenir census and treatment data clinepi round 2::form.treatment_letter_1_11.cen	avenir census and treatment data clinepi round 2::form.treatment_letter_1_11.cen	c	C	
avenir census and treatment data clinepi round 2::form.treatment_letter_1_11.cen	avenir census and treatment data clinepi round 2::form.treatment_letter_1_11.cen	f	F	
avenir census and treatment data clinepi round 2::form.treatment_letter_1_11.cen	avenir census and treatment data clinepi round 2::form.treatment_letter_1_11.cen	g	G	
avenir census and treatment data clinepi round 2::form.treatment_letter_1_11.cen	avenir census and treatment data clinepi round 2::form.treatment_letter_1_11.cen	k	K	
avenir census and treatment data clinepi round 2::form.treatment_letter_1_11.cen	avenir census and treatment data clinepi round 2::form.treatment_letter_1_11.cen	m	M	
avenir census and treatment data clinepi round 2::form.treatment_letter_1_11.cen	avenir census and treatment data clinepi round 2::form.treatment_letter_1_11.cen	q	Q	
avenir census and treatment data clinepi round 2::form.treatment_letter_1_11.cen	avenir census and treatment data clinepi round 2::form.treatment_letter_1_11.cen	s	S	
avenir census and treatment data clinepi round 2::form.treatment_letter_1_11.cen	avenir census and treatment data clinepi round 2::form.treatment_letter_1_11.cen	t	T	
avenir census and treatment data clinepi round 2::form.treatment_letter_1_11.cen	avenir census and treatment data clinepi round 2::form.treatment_letter_1_11.cen	v	V	
avenir census and treatment data clinepi round 2::form.treatment_letter_1_11.cen	avenir census and treatment data clinepi round 2::form.treatment_letter_1_11.cen	x	X	
avenir census and treatment data clinepi round 2::form.treatment_letter_1_11.cen	avenir census and treatment data clinepi round 2::form.treatment_letter_1_11.cen	y	Y	
avenir census and treatment data clinepi round 2::form.treatment_letter_12_59.cen	avenir census and treatment data clinepi round 2::form.treatment_letter_12_59.cen	A	A	
avenir census and treatment data clinepi round 2::form.treatment_letter_12_59.cen	avenir census and treatment data clinepi round 2::form.treatment_letter_12_59.cen	D	D	
avenir census and treatment data clinepi round 2::form.treatment_letter_12_59.cen	avenir census and treatment data clinepi round 2::form.treatment_letter_12_59.cen	E	E	
avenir census and treatment data clinepi round 2::form.treatment_letter_12_59.cen	avenir census and treatment data clinepi round 2::form.treatment_letter_12_59.cen	H	H	
avenir census and treatment data clinepi round 2::form.treatment_letter_12_59.cen	avenir census and treatment data clinepi round 2::form.treatment_letter_12_59.cen	J	J	
avenir census and treatment data clinepi round 2::form.treatment_letter_12_59.cen	avenir census and treatment data clinepi round 2::form.treatment_letter_12_59.cen	L	L	
avenir census and treatment data clinepi round 2::form.treatment_letter_12_59.cen	avenir census and treatment data clinepi round 2::form.treatment_letter_12_59.cen	N	N	
avenir census and treatment data clinepi round 2::form.treatment_letter_12_59.cen	avenir census and treatment data clinepi round 2::form.treatment_letter_12_59.cen	P	P	
avenir census and treatment data clinepi round 2::form.treatment_letter_12_59.cen	avenir census and treatment data clinepi round 2::form.treatment_letter_12_59.cen	R	R	
avenir census and treatment data clinepi round 2::form.treatment_letter_12_59.cen	avenir census and treatment data clinepi round 2::form.treatment_letter_12_59.cen	U	U	
avenir census and treatment data clinepi round 2::form.treatment_letter_12_59.cen	avenir census and treatment data clinepi round 2::form.treatment_letter_12_59.cen	W	W	
avenir census and treatment data clinepi round 2::form.treatment_letter_12_59.cen	avenir census and treatment data clinepi round 2::form.treatment_letter_12_59.cen	Z	Z	
avenir census and treatment data clinepi round 2::form.hohsex	avenir census and treatment data clinepi round 2::form.hohsex	1	Male	
avenir census and treatment data clinepi round 2::form.hohsex	avenir census and treatment data clinepi round 2::form.hohsex	2	Female	
avenir census and treatment data clinepi round 2::form.hohsex	avenir census and treatment data clinepi round 2::form.hohsex	NA	:::UNDEF:::	
avenir census and treatment data clinepi round 2::form.hohage	avenir census and treatment data clinepi round 2::form.hohage	NA	:::UNDEF:::	
avenir census and treatment data clinepi round 2::treatmentconsent	avenir census and treatment data clinepi round 2::treatmentconsent	0	No	
avenir census and treatment data clinepi round 2::treatmentconsent	avenir census and treatment data clinepi round 2::treatmentconsent	1	Yes	
avenir census and treatment data clinepi round 2::treatmentconsent	avenir census and treatment data clinepi round 2::treatmentconsent	2	AMR grappe	
avenir census and treatment data clinepi round 2::treatmentconsent	avenir census and treatment data clinepi round 2::treatmentconsent	NA	:::UNDEF:::	
avenir census and treatment data clinepi round 2::notreatreason	avenir census and treatment data clinepi round 2::notreatreason	2	Parent refusal	
avenir census and treatment data clinepi round 2::notreatreason	avenir census and treatment data clinepi round 2::notreatreason	99	Other reason	
avenir census and treatment data clinepi round 2::notreatreason	avenir census and treatment data clinepi round 2::notreatreason	NA	:::UNDEF:::	
avenir census and treatment data clinepi round 2::notreatreasonother	avenir census and treatment data clinepi round 2::notreatreasonother	NA	:::UNDEF:::	
avenir census and treatment data clinepi round 2::vital_status_child	avenir census and treatment data clinepi round 2::vital_status_child	0	Dead	
avenir census and treatment data clinepi round 2::vital_status_child	avenir census and treatment data clinepi round 2::vital_status_child	1	"Alive, slept in HH last night"	
avenir census and treatment data clinepi round 2::vital_status_child	avenir census and treatment data clinepi round 2::vital_status_child	2	Alive but temporary absent	
avenir census and treatment data clinepi round 2::vital_status_child	avenir census and treatment data clinepi round 2::vital_status_child	3	Moved within the community	
avenir census and treatment data clinepi round 2::vital_status_child	avenir census and treatment data clinepi round 2::vital_status_child	4	Moved outside the community	
avenir census and treatment data clinepi round 2::vital_status_child	avenir census and treatment data clinepi round 2::vital_status_child	99	Unknown	
avenir census and treatment data clinepi round 2::vital_status_child	avenir census and treatment data clinepi round 2::vital_status_child	NA	:::UNDEF:::	
avenir census and treatment data clinepi round 2::form.childpresent	avenir census and treatment data clinepi round 2::form.childpresent	0	No	
avenir census and treatment data clinepi round 2::form.childpresent	avenir census and treatment data clinepi round 2::form.childpresent	1	Yes	
avenir census and treatment data clinepi round 2::form.childpresent	avenir census and treatment data clinepi round 2::form.childpresent	2	Others	
avenir census and treatment data clinepi round 2::form.childpresent	avenir census and treatment data clinepi round 2::form.childpresent	NA	:::UNDEF:::	
avenir census and treatment data clinepi round 2::form.childreturnhome	avenir census and treatment data clinepi round 2::form.childreturnhome	1	Less than a week	
avenir census and treatment data clinepi round 2::form.childreturnhome	avenir census and treatment data clinepi round 2::form.childreturnhome	2	More than a week	
avenir census and treatment data clinepi round 2::form.childreturnhome	avenir census and treatment data clinepi round 2::form.childreturnhome	NA	:::UNDEF:::	
avenir census and treatment data clinepi round 2::form.weight	avenir census and treatment data clinepi round 2::form.weight	NA	:::UNDEF:::	
avenir census and treatment data clinepi round 2::form.isadministered	avenir census and treatment data clinepi round 2::form.isadministered	0	No	
avenir census and treatment data clinepi round 2::form.isadministered	avenir census and treatment data clinepi round 2::form.isadministered	1	Yes	
avenir census and treatment data clinepi round 2::form.isadministered	avenir census and treatment data clinepi round 2::form.isadministered	NA	:::UNDEF:::	
avenir census and treatment data clinepi round 2::form.notreatreason	avenir census and treatment data clinepi round 2::form.notreatreason	99	Other	
avenir census and treatment data clinepi round 2::form.notreatreason	avenir census and treatment data clinepi round 2::form.notreatreason	NA	:::UNDEF:::	
avenir census and treatment data clinepi round 3::round	avenir census and treatment data clinepi round 3::round	3	Round 3	
avenir census and treatment data clinepi round 3::round	avenir census and treatment data clinepi round 3::round	3	Round 3	
avenir census and treatment data clinepi round 3::childid_public	avenir census and treatment data clinepi round 3::childid_public	NA	:::UNDEF:::	
avenir census and treatment data clinepi round 3::form.region.cen	avenir census and treatment data clinepi round 3::form.region.cen	Dosso	Dosso	
avenir census and treatment data clinepi round 3::form.region.cen	avenir census and treatment data clinepi round 3::form.region.cen	Tahoua	Tahoua	
avenir census and treatment data clinepi round 3::form.district	avenir census and treatment data clinepi round 3::form.district	Bagaroua	Bagaroua	
avenir census and treatment data clinepi round 3::form.district	avenir census and treatment data clinepi round 3::form.district	Birni N'Konni	Birni N'Konni	
avenir census and treatment data clinepi round 3::form.district	avenir census and treatment data clinepi round 3::form.district	Boboye	Boboye	
avenir census and treatment data clinepi round 3::form.district	avenir census and treatment data clinepi round 3::form.district	Bouza	Bouza	
avenir census and treatment data clinepi round 3::form.district	avenir census and treatment data clinepi round 3::form.district	Dioundiou	Dioundiou	
avenir census and treatment data clinepi round 3::form.district	avenir census and treatment data clinepi round 3::form.district	Dogondoutchi	Dogondoutchi	
avenir census and treatment data clinepi round 3::form.district	avenir census and treatment data clinepi round 3::form.district	Dosso	Dosso	
avenir census and treatment data clinepi round 3::form.district	avenir census and treatment data clinepi round 3::form.district	Falmey	Falmey	
avenir census and treatment data clinepi round 3::form.district	avenir census and treatment data clinepi round 3::form.district	Gaya	Gaya	
avenir census and treatment data clinepi round 3::form.district	avenir census and treatment data clinepi round 3::form.district	Illela	Illela	
avenir census and treatment data clinepi round 3::form.district	avenir census and treatment data clinepi round 3::form.district	Keita	Keita	
avenir census and treatment data clinepi round 3::form.district	avenir census and treatment data clinepi round 3::form.district	Loga	Loga	
