variable	variable2	values	mappedTerms	valueOrder
gems1a_huas_lite_data_6_sites::drh_wrnkskin	gems1a_huas_lite_data_6_sites::drh_wrnkskin	1	Yes	1
gems1a_huas_lite_data_6_sites::drh_wrnkskin	gems1a_huas_lite_data_6_sites::drh_wrnkskin	9	Don't know	3
gems1a_huas_lite_data_6_sites::gender	gems1a_huas_lite_data_6_sites::gender	0	Male	2
gems1a_huas_lite_data_6_sites::gender	gems1a_huas_lite_data_6_sites::gender	1	Female	1
gems1a_huas_lite_data_kenya::gender	gems1a_huas_lite_data_kenya::gender	1	Male	2
gems1a_huas_lite_data_kenya::gender	gems1a_huas_lite_data_kenya::gender	2	Female	1
gems1a_huas_lite_data_kenya::max_stools	gems1a_huas_lite_data_kenya::max_stools	0	:::UNDEF:::	
gems1a_huas_lite_data_kenya::max_stools	gems1a_huas_lite_data_kenya::max_stools	1	3 to 6 times per day	1
gems1a_huas_lite_data_kenya::max_stools	gems1a_huas_lite_data_kenya::max_stools	2	7 to 10 times per day	2
gems1a_huas_lite_data_kenya::max_stools	gems1a_huas_lite_data_kenya::max_stools	3	More than 10 times per day	3
gems1a_huas_lite_data_kenya::max_stools	gems1a_huas_lite_data_kenya::max_stools	4	Don't know	4
gems1a_huas_lite_data_6_sites::max_stools	gems1a_huas_lite_data_6_sites::max_stools	0	:::UNDEF:::	
gems1a_huas_lite_data_6_sites::max_stools	gems1a_huas_lite_data_6_sites::max_stools	1	3 to 6 times per day	1
gems1a_huas_lite_data_6_sites::max_stools	gems1a_huas_lite_data_6_sites::max_stools	2	7 to 10 times per day	2
gems1a_huas_lite_data_6_sites::max_stools	gems1a_huas_lite_data_6_sites::max_stools	3	More than 10 times per day	3
gems1a_huas_lite_data_6_sites::max_stools	gems1a_huas_lite_data_6_sites::max_stools	4	Don't know	4
gems1a_huas_lite_data_kenya::outcome	gems1a_huas_lite_data_kenya::outcome	0	Resolved	1
gems1a_huas_lite_data_kenya::outcome	gems1a_huas_lite_data_kenya::outcome	1	Improved	2
gems1a_huas_lite_data_kenya::outcome	gems1a_huas_lite_data_kenya::outcome	2	Continuing	3
gems1a_huas_lite_data_kenya::outcome	gems1a_huas_lite_data_kenya::outcome	3	Worsening	4
gems1a_huas_lite_data_kenya::outcome	gems1a_huas_lite_data_kenya::outcome	4	Child died	5
gems1a_huas_lite_data_6_sites::outcome	gems1a_huas_lite_data_6_sites::outcome	0	Resolved	1
gems1a_huas_lite_data_6_sites::outcome	gems1a_huas_lite_data_6_sites::outcome	1	Improved	2
gems1a_huas_lite_data_6_sites::outcome	gems1a_huas_lite_data_6_sites::outcome	2	Continuing	3
gems1a_huas_lite_data_6_sites::outcome	gems1a_huas_lite_data_6_sites::outcome	3	Worsening	4
gems1a_huas_lite_data_6_sites::outcome	gems1a_huas_lite_data_6_sites::outcome	4	Child died	5
gems1a_huas_lite_data_kenya::primcare	gems1a_huas_lite_data_kenya::primcare	1	Yes	1
gems1a_huas_lite_data_kenya::primcare	gems1a_huas_lite_data_kenya::primcare	0	No	2
gems1a_huas_lite_data_6_sites::primcare	gems1a_huas_lite_data_6_sites::primcare	1	Yes	1
gems1a_huas_lite_data_6_sites::primcare	gems1a_huas_lite_data_6_sites::primcare	0	No	2
gems1a_huas_lite_data_6_sites::seek_ctr2_shc	gems1a_huas_lite_data_6_sites::seek_ctr2_shc	1	Yes		
gems1a_huas_lite_data_6_sites::seek_ctr3_shc	gems1a_huas_lite_data_6_sites::seek_ctr3_shc	1	Yes	
gems1a_huas_lite_data_6_sites::site	gems1a_huas_lite_data_6_sites::site	1	The Gambia	1
gems1a_huas_lite_data_6_sites::site	gems1a_huas_lite_data_6_sites::site	2	Mali	2
gems1a_huas_lite_data_6_sites::site	gems1a_huas_lite_data_6_sites::site	3	Mozambique	3
gems1a_huas_lite_data_6_sites::site	gems1a_huas_lite_data_6_sites::site	4	Kenya	4
gems1a_huas_lite_data_6_sites::site	gems1a_huas_lite_data_6_sites::site	5	India	5
gems1a_huas_lite_data_6_sites::site	gems1a_huas_lite_data_6_sites::site	6	Bangladesh	6
gems1a_huas_lite_data_6_sites::site	gems1a_huas_lite_data_6_sites::site	7	Pakistan	7
gems1a_huas_lite_data_kenya::site	gems1a_huas_lite_data_kenya::site	4	Kenya	4
gems1a_huas_lite_data_6_sites::status	gems1a_huas_lite_data_6_sites::status	1	Conducted	1
gems1a_huas_lite_data_6_sites::status	gems1a_huas_lite_data_6_sites::status	0	Not conducted	2
gems1a_huas_lite_data_kenya::status	gems1a_huas_lite_data_kenya::status	1	Conducted	1
gems1a_huas_lite_data_kenya::status	gems1a_huas_lite_data_kenya::status	2	Not conducted	2
gems1a_huas_lite_data_kenya::vomit_days	gems1a_huas_lite_data_kenya::vomit_days	0	:::UNDEF:::	
gems1a_huas_lite_data_kenya::vomit_days	gems1a_huas_lite_data_kenya::vomit_days	1	1-2 days	1
gems1a_huas_lite_data_kenya::vomit_days	gems1a_huas_lite_data_kenya::vomit_days	2	3-5 days	2
gems1a_huas_lite_data_kenya::vomit_days	gems1a_huas_lite_data_kenya::vomit_days	3	more than 5 days	3
gems1a_huas_lite_data_6_sites::vomit_days	gems1a_huas_lite_data_6_sites::vomit_days	0	:::UNDEF:::	
gems1a_huas_lite_data_6_sites::vomit_days	gems1a_huas_lite_data_6_sites::vomit_days	1	1-2 days	1
gems1a_huas_lite_data_6_sites::vomit_days	gems1a_huas_lite_data_6_sites::vomit_days	2	3-5 days	2
gems1a_huas_lite_data_6_sites::vomit_days	gems1a_huas_lite_data_6_sites::vomit_days	3	more than 5 days	3
gems1a_huas_lite_data_kenya::vomit_times	gems1a_huas_lite_data_kenya::vomit_times	0	:::UNDEF:::	
gems1a_huas_lite_data_kenya::vomit_times	gems1a_huas_lite_data_kenya::vomit_times	1	1-2 times	1
gems1a_huas_lite_data_kenya::vomit_times	gems1a_huas_lite_data_kenya::vomit_times	2	3-5 times	2
gems1a_huas_lite_data_kenya::vomit_times	gems1a_huas_lite_data_kenya::vomit_times	3	more than 5 times	3
gems1a_huas_lite_data_6_sites::vomit_times	gems1a_huas_lite_data_6_sites::vomit_times	0	:::UNDEF:::	
gems1a_huas_lite_data_6_sites::vomit_times	gems1a_huas_lite_data_6_sites::vomit_times	1	1-2 times	1
gems1a_huas_lite_data_6_sites::vomit_times	gems1a_huas_lite_data_6_sites::vomit_times	2	3-5 times	2
gems1a_huas_lite_data_6_sites::vomit_times	gems1a_huas_lite_data_6_sites::vomit_times	3	more than 5 times	3
gems1_huas_lite_data_kenya::agestratum	gems1_huas_lite_data_kenya::agestratum	1	0-11 months	1
gems1_huas_lite_data_kenya::agestratum	gems1_huas_lite_data_kenya::agestratum	2	12-23 months	2
gems1_huas_lite_data_kenya::agestratum	gems1_huas_lite_data_kenya::agestratum	3	24-59 months	3
gems1a_huas_lite_data_kenya::mod_severe	gems1a_huas_lite_data_kenya::mod_severe	1	Moderate to severe diarrhea	3
gems1a_huas_lite_data_kenya::mod_severe	gems1a_huas_lite_data_kenya::mod_severe	2	Had diarrhea, not moderate to severe	2
gems1a_huas_lite_data_kenya::mod_severe	gems1a_huas_lite_data_kenya::mod_severe	3	No diarrhea in the last 2 weeks	1
gems1a_huas_lite_data_kenya::primcare	gems1a_huas_lite_data_kenya::primcare	1	No	2
gems1a_huas_lite_data_kenya::primcare	gems1a_huas_lite_data_kenya::primcare	2	Yes	1
gems1a_huas_lite_data_6_sites::primcare	gems1a_huas_lite_data_6_sites::primcare	1	No	2
gems1a_huas_lite_data_6_sites::primcare	gems1a_huas_lite_data_6_sites::primcare	2	Yes	1
gems1a_huas_lite_data_kenya::offer_eat	gems1a_huas_lite_data_kenya::offer_eat	0	:::UNDEF:::	
gems1a_huas_lite_data_kenya::offer_eat	gems1a_huas_lite_data_kenya::offer_eat	1	More than usual	1	
gems1a_huas_lite_data_kenya::offer_eat	gems1a_huas_lite_data_kenya::offer_eat	2	Usual	2
gems1a_huas_lite_data_kenya::offer_eat	gems1a_huas_lite_data_kenya::offer_eat	3	Less than usual	3
gems1a_huas_lite_data_kenya::offer_eat	gems1a_huas_lite_data_kenya::offer_eat	4	Nothing to eat	4
gems1a_huas_lite_data_kenya::offer_eat	gems1a_huas_lite_data_kenya::offer_eat	5	NA/breastfed exclusively	5
gems1a_huas_lite_data_6_sites::offer_eat	gems1a_huas_lite_data_6_sites::offer_eat	0	:::UNDEF:::	
gems1a_huas_lite_data_6_sites::offer_eat	gems1a_huas_lite_data_6_sites::offer_eat	1	More than usual	1
gems1a_huas_lite_data_6_sites::offer_eat	gems1a_huas_lite_data_6_sites::offer_eat	2	Usual	2
gems1a_huas_lite_data_6_sites::offer_eat	gems1a_huas_lite_data_6_sites::offer_eat	3	Less than usual	3
gems1a_huas_lite_data_6_sites::offer_eat	gems1a_huas_lite_data_6_sites::offer_eat	4	Nothing to eat	4
gems1a_huas_lite_data_kenya::offer_drink	gems1a_huas_lite_data_kenya::offer_drink	0	:::UNDEF:::
gems1a_huas_lite_data_kenya::offer_drink	gems1a_huas_lite_data_kenya::offer_drink	1	More than usual	1
gems1a_huas_lite_data_kenya::offer_drink	gems1a_huas_lite_data_kenya::offer_drink	2	Usual	2
gems1a_huas_lite_data_kenya::offer_drink	gems1a_huas_lite_data_kenya::offer_drink	3	Less than usual	3
gems1a_huas_lite_data_kenya::offer_drink	gems1a_huas_lite_data_kenya::offer_drink	4	Nothing to drink	4
gems1a_huas_lite_data_6_sites::offer_drink	gems1a_huas_lite_data_6_sites::offer_drink	1	More than usual	1
gems1a_huas_lite_data_6_sites::offer_drink	gems1a_huas_lite_data_6_sites::offer_drink	2	Usual	2
gems1a_huas_lite_data_6_sites::offer_drink	gems1a_huas_lite_data_6_sites::offer_drink	3	Less than usual	3
gems1a_huas_lite_data_6_sites::offer_drink	gems1a_huas_lite_data_6_sites::offer_drink	4	Nothing to drink	4
gems1a_huas_lite_data_kenya::vomit	gems1a_huas_lite_data_kenya::vomit	0	:::UNDEF:::	
gems1a_huas_lite_data_kenya::vomit	gems1a_huas_lite_data_kenya::vomit	1	No	2
gems1a_huas_lite_data_kenya::vomit	gems1a_huas_lite_data_kenya::vomit	2	Yes	1
gems1a_huas_lite_data_6_sites::vomit	gems1a_huas_lite_data_6_sites::vomit	0	No	2
gems1a_huas_lite_data_6_sites::vomit	gems1a_huas_lite_data_6_sites::vomit	1	Yes	1
gems1a_huas_lite_data_kenya::seekcare	gems1a_huas_lite_data_kenya::seekcare	0	NA	3
gems1a_huas_lite_data_kenya::seekcare	gems1a_huas_lite_data_kenya::seekcare	1	No	2
gems1a_huas_lite_data_kenya::seekcare	gems1a_huas_lite_data_kenya::seekcare	2	Yes	1
gems1a_huas_lite_data_6_sites::seekcare	gems1a_huas_lite_data_6_sites::seekcare	0	No	2
gems1a_huas_lite_data_6_sites::seekcare	gems1a_huas_lite_data_6_sites::seekcare	1	Yes	1
gems1a_huas_lite_data_6_sites::admit	gems1a_huas_lite_data_6_sites::admit	0	No	2
gems1a_huas_lite_data_6_sites::admit	gems1a_huas_lite_data_6_sites::admit	1	Yes	1
gems1a_huas_lite_data_6_sites::admit	gems1a_huas_lite_data_6_sites::admit	9	:::UNDEF:::		
gems1a_huas_lite_data_kenya::admit	gems1a_huas_lite_data_kenya::admit	0	:::UNDEF:::	
gems1a_huas_lite_data_kenya::admit	gems1a_huas_lite_data_kenya::admit	1	No	2
gems1a_huas_lite_data_kenya::admit	gems1a_huas_lite_data_kenya::admit	2	Yes	1
gems1a_huas_lite_data_kenya::admit	gems1a_huas_lite_data_kenya::admit	3	:::UNDEF:::		
