Term Ontology IRI	Term parent	PRISM data dictionary label (en)	PRISM Preferred Label (en)	ID#	Prism Description	EuPath Definition
http://purl.obolibrary.org/obo/EUPATH_0000181	http://purl.obolibrary.org/obo/ICEMR_0000008	RADIO_OWNED	Radio	1.4.7.16	Does your household have a radio?	Does your household have a radio?
http://purl.obolibrary.org/obo/EUPATH_0000180	http://purl.obolibrary.org/obo/ICEMR_0000008	SCOOTER	Motorbike / scooter	1.4.7.17	Does any member of your household own or have a motorcycle or motor scooter?	Does any member of your household own or have a motorcycle or motor scooter?
http://purl.obolibrary.org/obo/EUPATH_0000183	http://purl.obolibrary.org/obo/ICEMR_0000008	SOFA	Sofa	1.4.7.18	Does your household have a sofa set?	Does your household have a sofa set?
http://purl.obolibrary.org/obo/EUPATH_0000184	http://purl.obolibrary.org/obo/ICEMR_0000008	Table_present	Table	1.4.7.19	Does your household have a table?	Does your household have a table?
http://purl.obolibrary.org/obo/EUPATH_0000168	http://purl.obolibrary.org/obo/ICEMR_0000008	BED	Bed	1.4.7.2	Does your household have a bed?	Does your household have a bed?
http://purl.obolibrary.org/obo/EUPATH_0000185	http://purl.obolibrary.org/obo/ICEMR_0000008	TV_OWNED	TV	1.4.7.20	Does your household have a television?	Does your household have a television?
http://purl.obolibrary.org/obo/EUPATH_0000186	http://purl.obolibrary.org/obo/ICEMR_0000008	WATCH	Watch	1.4.7.21	Does any member of your household own or have a watch?	Does any member of your household own or have a watch?
http://purl.obolibrary.org/obo/EUPATH_0000169	http://purl.obolibrary.org/obo/ICEMR_0000008	BICYCLE	Bicycle	1.4.7.3	Does any member of your household own or have a bicycle?	Does any member of your household own or have a bicycle?
http://purl.obolibrary.org/obo/EUPATH_0000179	http://purl.obolibrary.org/obo/ICEMR_0000008	MBOAT	Boat with motor	1.4.7.4	Does any member of your household own or have a motorboat?	Does any member of your household own or have a motorboat?
http://purl.obolibrary.org/obo/EUPATH_0000170	http://purl.obolibrary.org/obo/ICEMR_0000008	NOMBOAT	Boat without motor	1.4.7.5	Does any member of your household own or have a boat without a motor?	Does any member of your household own or have a boat without a motor?
http://purl.obolibrary.org/obo/EUPATH_0000171	http://purl.obolibrary.org/obo/ICEMR_0000008	CAR	Car	1.4.7.6	Does any member of your household own or have a car or truck?	Does any member of your household own or have a car or truck?
http://purl.obolibrary.org/obo/EUPATH_0000166	http://purl.obolibrary.org/obo/ICEMR_0000008	CART	Cart	1.4.7.7	Does any member of your household own or have an animal-drawn cart?	Does any member of your household own or have an animal-drawn cart?
http://purl.obolibrary.org/obo/EUPATH_0000172	http://purl.obolibrary.org/obo/ICEMR_0000008	CASSETTE	Cassette	1.4.7.8	Does your household have a cassette player?	Does your household have a cassette player?
http://purl.obolibrary.org/obo/EUPATH_0000173	http://purl.obolibrary.org/obo/ICEMR_0000008	CHAIR	Chair	1.4.7.9	Does your household have a chair?	Does your household have a chair?
http://purl.obolibrary.org/obo/EUPATH_0000134	http://purl.obolibrary.org/obo/ICEMR_0000009		Num Collections	1.5.1	Total number of nosquito collections per ?????	Total number of nosquito collections per ?????
http://purl.obolibrary.org/obo/EUPATH_0000116	http://purl.obolibrary.org/obo/ICEMR_0000009	Ave_anopheles	Human Biting Rate (HBR)	1.5.2	Average number of Anopheles females trapped per night	Average number of Anopheles females trapped per night
http://purl.obolibrary.org/obo/EUPATH_0000135	http://purl.obolibrary.org/obo/ICEMR_0000009	Total_anopheles	# Anopheles collected (total)	1.5.3	Total # female Anopheles collected	Total # female Anopheles collected
http://purl.obolibrary.org/obo/EUPATH_0000137	http://purl.obolibrary.org/obo/ICEMR_0000010	Total_gambiae	# A. gambiae	1.5.4.1	Number of female Anopheles gambiae collected	Number of female Anopheles gambiae collected
http://purl.obolibrary.org/obo/EUPATH_0000193	http://purl.obolibrary.org/obo/ICEMR_0000010	fedgamb	Fed A. gambiae	1.5.4.2	Number of female Anopheles gambiae with a recent blood meal	Number of female Anopheles gambiae with a recent blood meal
http://purl.obolibrary.org/obo/EUPATH_0000205	http://purl.obolibrary.org/obo/ICEMR_0000010	unfedgamb	Unfed A. gambiae	1.5.4.3	Number of female Anopheles gambiae without a recent blood meal	Number of female Anopheles gambiae without a recent blood meal
http://purl.obolibrary.org/obo/EUPATH_0000198	http://purl.obolibrary.org/obo/ICEMR_0000010	gravidgamb	Gravid A. gambiae	1.5.4.4	Number of gravid or semi-gravid Anopheles gambiae	Number of gravid or semi-gravid Anopheles gambiae
http://purl.obolibrary.org/obo/EUPATH_0000203	http://purl.obolibrary.org/obo/ICEMR_0000010	funesunableassess	Unable to assess	1.5.4.5	Number of Anopheles gambiae that could not be assessed	Number of Anopheles gambiae that could not be assessed
http://purl.obolibrary.org/obo/EUPATH_0000136	http://purl.obolibrary.org/obo/ICEMR_0000011	Total_funestus	# A. funestus	1.5.5.1	Number of female Anopheles funestus collected	Number of female Anopheles funestus collected
http://purl.obolibrary.org/obo/EUPATH_0000192	http://purl.obolibrary.org/obo/ICEMR_0000011	fedfunes	Fed A. funestus	1.5.5.2	Number of female Anopheles funestus with a recent blood meal	Number of female Anopheles funestus with a recent blood meal
http://purl.obolibrary.org/obo/EUPATH_0000204	http://purl.obolibrary.org/obo/ICEMR_0000011	unfedfunes	Unfed A. funestus	1.5.5.3	Number of female Anopheles funestus without a recent blood meal	Number of female Anopheles funestus without a recent blood meal
http://purl.obolibrary.org/obo/EUPATH_0000197	http://purl.obolibrary.org/obo/ICEMR_0000011	gravidfunes	Gravid A. funestus	1.5.5.4	Number of gravid or semi-gravid Anopheles funestus	Number of gravid or semi-gravid Anopheles funestus
http://purl.obolibrary.org/obo/EUPATH_0000202	http://purl.obolibrary.org/obo/ICEMR_0000011	funesunableassess	Unable to assess	1.5.5.5	Number of Anopheles funestus that could not be assessed	Number of Anopheles funestus that could not be assessed
http://purl.obolibrary.org/obo/EUPATH_0000200	http://purl.obolibrary.org/obo/ICEMR_0000009	femotherano	Other Anopheles	1.5.6	Number of other female Anopheles species	Number of other female Anopheles species
http://purl.obolibrary.org/obo/EUPATH_0000117	http://purl.obolibrary.org/obo/ICEMR_0000012	Ave Anopheles Tested	Ave Anopheles tested	1.5.7.1	Average number of Anopheles examined for sporozoites	Average number of Anopheles examined for sporozoites
http://purl.obolibrary.org/obo/EUPATH_0000118	http://purl.obolibrary.org/obo/ICEMR_0000012	Ave Anopheles Positive	Ave Anopheles positive	1.5.7.2	Average number of Anopheles with Plasmodium sporozoites	Average number of Anopheles with Plasmodium sporozoites
http://purl.obolibrary.org/obo/EUPATH_0000119	http://purl.obolibrary.org/obo/ICEMR_0000012	Ave Percent Anopheles Positive	% Anopheles positive	1.5.7.3	Average percent of Anopheles with Plasmodium sporozoites	Average percent of Anopheles with Plasmodium sporozoites
http://purl.obolibrary.org/obo/EUPATH_0000217	http://purl.obolibrary.org/obo/ICEMR_0000012	numbertested	Total Anopheles tested	1.5.7.4	Total number of Anopheles examined for sporozoites	Total number of Anopheles examined for sporozoites
http://purl.obolibrary.org/obo/EUPATH_0000218	http://purl.obolibrary.org/obo/ICEMR_0000012	numberpositive	Total Anopheles positive	1.5.7.5	Total number of Anopheles with Plasmodium sporozoites	Total number of Anopheles with Plasmodium sporozoites
http://purl.obolibrary.org/obo/EUPATH_0000194	http://purl.obolibrary.org/obo/ICEMR_0000013	discparity	Discparity	1.5.8.1	Number of female Anopheles dissected for parity in a collection	Number of female Anopheles dissected for parity in a collection
http://purl.obolibrary.org/obo/EUPATH_0000196	http://purl.obolibrary.org/obo/ICEMR_0000013	parous	Parous	1.5.8.2	Female anopheles that have layed eggs before or are pregnant	Female anopheles that have layed eggs before or are pregnant
http://purl.obolibrary.org/obo/EUPATH_0000195	http://purl.obolibrary.org/obo/ICEMR_0000013	nulliparous	Nulliparous	1.5.8.3	Female anopheles? that have never layed eggs	Female anopheles? that have never layed eggs
http://purl.obolibrary.org/obo/EUPATH_0000138	http://purl.obolibrary.org/obo/ICEMR_0000014	Total Observation Period	Observation period	2.1.1	Total period of participant observation	Total period of participant observation
http://purl.obolibrary.org/obo/EUPATH_0000151	http://purl.obolibrary.org/obo/ICEMR_0000014	enrollperiod	Enrollment date	2.1.2	Date participant first enrolled in study	Date participant first enrolled in study
http://purl.obolibrary.org/obo/EUPATH_0000152	http://purl.obolibrary.org/obo/ICEMR_0000014	lastdate	Last date observed	2.1.3	Date participant last seen in study	Date participant last seen in study
http://purl.obolibrary.org/obo/EUPATH_0000094	http://purl.obolibrary.org/obo/ICEMR_0000014	hhid	Household ID	2.1.4		
http://purl.obolibrary.org/obo/EUPATH_0000219	http://purl.obolibrary.org/obo/ICEMR_0000014	screening	Time of screening	2.1.5		
http://purl.obolibrary.org/obo/EUPATH_0000208	http://purl.obolibrary.org/obo/ICEMR_0000014	withdrawnreason	Reason for withdrawal	2.1.6		
http://purl.obolibrary.org/obo/EUPATH_0000120	http://purl.obolibrary.org/obo/ICEMR_0000015	age	Age at time of enrollment	2.2.1	Date of study participant's birth	Date of study participant's birth
http://purl.obolibrary.org/obo/PATO_0000047	http://purl.obolibrary.org/obo/ICEMR_0000015	gender	Sex	2.2.3		
http://purl.obolibrary.org/obo/EUPATH_0000034	http://purl.obolibrary.org/obo/ICEMR_0000016	alphathal	A-Thalassemia Genotype	2.2.4.1		
http://purl.obolibrary.org/obo/EUPATH_0000033	http://purl.obolibrary.org/obo/ICEMR_0000016	G6PD	G6PD Genotype	2.2.4.2		
http://purl.obolibrary.org/obo/EUPATH_0000035	http://purl.obolibrary.org/obo/ICEMR_0000016	hbs	HbS Genotype	2.2.4.3		
http://purl.obolibrary.org/obo/EUPATH_0000150	http://purl.obolibrary.org/obo/ICEMR_0000027	dateofdeath	Date of death	2.2.5		
http://purl.obolibrary.org/obo/EUPATH_0000147	http://purl.obolibrary.org/obo/ICEMR_0000027	cause	Cause of death	2.2.6		
http://purl.obolibrary.org/obo/EUPATH_0000189	http://purl.obolibrary.org/obo/ICEMR_0000027	participantdie	Location of death	2.2.7		
http://purl.obolibrary.org/obo/EUPATH_0000121	http://purl.obolibrary.org/obo/ICEMR_0000026	Total Visits	Total clinical visits	2.3.1		
http://purl.obolibrary.org/obo/EUPATH_0000139	http://purl.obolibrary.org/obo/ICEMR_0000026	Visits Per Year	Clinical visits per year	2.3.2		
http://purl.obolibrary.org/obo/EUPATH_0000122	http://purl.obolibrary.org/obo/ICEMR_0000026	Total Visits With Malaria Dx	Total visits with malaria	2.3.3		
http://purl.obolibrary.org/obo/EUPATH_0000141	http://purl.obolibrary.org/obo/ICEMR_0000026	Visits Per Year W/Malaria	Visits with malaria per year	2.3.4		
http://purl.obolibrary.org/obo/EUPATH_0000115	http://purl.obolibrary.org/obo/ICEMR_0000026	Ave Malaria Parasite Density	Ave parasite density (malaria diagnosis)	2.3.5		
http://purl.obolibrary.org/obo/EUPATH_0000123	http://purl.obolibrary.org/obo/ICEMR_0000026	Total Visits With Asymp Para	Total visits with asymptomatic parasitemia	2.3.6		
http://purl.obolibrary.org/obo/EUPATH_0000140	http://purl.obolibrary.org/obo/ICEMR_0000026	Visits Per Year W/ Asymp Para	Total with asymptomatic parasitemia per year	2.3.7		
http://purl.obolibrary.org/obo/EUPATH_0000114	http://purl.obolibrary.org/obo/ICEMR_0000026	Ave Asymptomatic Parasite Density	Ave parasite density (asymptomatic parasitemia)	2.3.8		
http://purl.obolibrary.org/obo/EUPATH_0000049	http://purl.obolibrary.org/obo/ICEMR_0000017	visittype	Clinical visit type	3.1.1	Classification of clinical visit based on reason for the visit	Classification of clinical visit based on reason for the visit
http://purl.obolibrary.org/obo/EUPATH_0000199	http://purl.obolibrary.org/obo/ICEMR_0000017	itnperperson	Itnperperson	3.1.10	Number of insectcide treated mosquito net(s) per person	Number of insectcide treated mosquito net(s) per person
http://purl.obolibrary.org/obo/EUPATH_0000191	http://purl.obolibrary.org/obo/ICEMR_0000017	dayssinceenrollment	Days since enrollment	3.1.11	Number of days from time of participant enrollment in study until current visit	Number of days from time of participant enrollment in study until current visit
http://purl.obolibrary.org/obo/EUPATH_0000091	http://purl.obolibrary.org/obo/ICEMR_0000017	monthyear	Date of visit	3.1.2	Month and year	Month and year
http://purl.obolibrary.org/obo/EUPATH_0000188	http://purl.obolibrary.org/obo/ICEMR_0000017	Hospital	Location of visit	3.1.3	A medical organization at which sick or injured people are given clinical care	A medical organization at which sick or injured people are given clinical care
http://purl.obolibrary.org/obo/EUPATH_0000113	http://purl.obolibrary.org/obo/ICEMR_0000017	age since birth at time of visit	Age at time of visit	3.1.4		
http://purl.obolibrary.org/obo/IAO_0000408	http://purl.obolibrary.org/obo/ICEMR_0000017	height	Height	3.1.5		
http://purl.obolibrary.org/obo/IAO_0000414	http://purl.obolibrary.org/obo/ICEMR_0000017	weight	Weight	3.1.6		
http://purl.obolibrary.org/obo/EUPATH_0000190	http://purl.obolibrary.org/obo/ICEMR_0000017	careoutside	Outside medical care?	3.1.7	Medical care outside the study clinic last seen?	Medical care outside the study clinic last seen?
http://purl.obolibrary.org/obo/EUPATH_0000145	http://purl.obolibrary.org/obo/ICEMR_0000017	osantimalarial	Outside antimalarial?	3.1.8	Antimalarial therapy given outside study since last seen?	Antimalarial therapy given outside study since last seen?
http://purl.obolibrary.org/obo/EUPATH_0000216	http://purl.obolibrary.org/obo/ICEMR_0000017	itnlastnight	ITN last night?	3.1.9	Slept in an insectside treated net last night?	Slept in an insectside treated net last night?
http://purl.obolibrary.org/obo/EUPATH_0000142	http://purl.obolibrary.org/obo/ICEMR_0000018	routinevisit	Routine clinical visit (date)	3.2.2		
http://purl.obolibrary.org/obo/EUPATH_0000153	http://purl.obolibrary.org/obo/ICEMR_0000018	malariafuday	Malaria follow-up	3.2.3	Days since malaria visit	Days since malaria visit
http://purl.obolibrary.org/obo/EUPATH_0000097	http://purl.obolibrary.org/obo/ICEMR_0000018	febrile	Febrile?	3.2.5	Elevated temperature or subjective fever	Elevated temperature or subjective fever
http://purl.obolibrary.org/obo/HP_0002027	http://purl.obolibrary.org/obo/ICEMR_0000019	abdominalpain	Abdominal pain	3.2.6.1	Pain perceived to originate in the abdomen	Pain perceived to originate in the abdomen
http://purl.obolibrary.org/obo/EUPATH_0000160	http://purl.obolibrary.org/obo/ICEMR_0000019	jduration	duration of jaundice	3.2.6.10		
http://purl.obolibrary.org/obo/EUPATH_0000100	http://purl.obolibrary.org/obo/ICEMR_0000019	fever	Fever (subjective)	3.2.6.11	Subjective fever, as reported by the study participant or their parent/guardian	Subjective fever, as reported by the study participant or their parent/guardian
http://purl.obolibrary.org/obo/EUPATH_0000164	http://purl.obolibrary.org/obo/ICEMR_0000019	fduration	duration of subjective fever	3.2.6.12		
http://purl.obolibrary.org/obo/SYMP_0019177	http://purl.obolibrary.org/obo/ICEMR_0000019	Fatigue	Fatigue	3.2.6.13	Fatigue or malaise	Fatigue or malaise
http://purl.obolibrary.org/obo/EUPATH_0000158	http://purl.obolibrary.org/obo/ICEMR_0000019	fmduration	duration of fatigue	3.2.6.14		
http://purl.obolibrary.org/obo/HP_0002315	http://purl.obolibrary.org/obo/ICEMR_0000019	Headache	Headache	3.2.6.15	Cephalgia, or pain sensed in various parts of the head, not confined to the area of distribution of any nerve	Cephalgia, or pain sensed in various parts of the head, not confined to the area of distribution of any nerve
http://purl.obolibrary.org/obo/EUPATH_0000159	http://purl.obolibrary.org/obo/ICEMR_0000019	hduration	duration of headache	3.2.6.16		
http://purl.obolibrary.org/obo/SYMP_0000064	http://purl.obolibrary.org/obo/ICEMR_0000019	jointpains	Joint pains	3.2.6.17		
http://purl.obolibrary.org/obo/EUPATH_0000161	http://purl.obolibrary.org/obo/ICEMR_0000019	djointpains	duration of joint pains	3.2.6.18		
http://purl.obolibrary.org/obo/EUPATH_0000252	http://purl.obolibrary.org/obo/ICEMR_0000019	muscleaches	Muscle aches	3.2.6.19		
http://purl.obolibrary.org/obo/EUPATH_0000154	http://purl.obolibrary.org/obo/ICEMR_0000019	apainduration	duration of abdominal pain	3.2.6.2		
http://purl.obolibrary.org/obo/EUPATH_0000162	http://purl.obolibrary.org/obo/ICEMR_0000019	mduration	duration of muscle aches	3.2.6.20		
http://purl.obolibrary.org/obo/SYMP_0000124	http://purl.obolibrary.org/obo/ICEMR_0000019	seizure	Seizures	3.2.6.21	Intermittent abnormality of the central nervous system (FMA:HP:0002011) due to sudden, excessive, disorderly discharge of cerebral neurons; characterized by some combination of disturbance of sensation, loss of consciousness, impairment of psychic function, or convulsive movements (epilepsy is used to describe chronic, recurrent seizures)	Intermittent abnormality of the central nervous system (FMA:HP:0002011) due to sudden, excessive, disorderly discharge of cerebral neurons; characterized by some combination of disturbance of sensation, loss of consciousness, impairment of psychic function, or convulsive movements (epilepsy is used to describe chronic, recurrent seizures)
http://purl.obolibrary.org/obo/EUPATH_0000163	http://purl.obolibrary.org/obo/ICEMR_0000019	sduration	duration of seizures	3.2.6.22		
http://purl.obolibrary.org/obo/HP_0002013	http://purl.obolibrary.org/obo/ICEMR_0000019	Vomiting	Vomiting	3.2.6.23	Forceful ejection of the contents of the stomach through the mouth by means of a series of involuntary spasmic contractions	Forceful ejection of the contents of the stomach through the mouth by means of a series of involuntary spasmic contractions
http://purl.obolibrary.org/obo/EUPATH_0000165	http://purl.obolibrary.org/obo/ICEMR_0000019	vduration	duration of vomiting	3.2.6.24		
http://purl.obolibrary.org/obo/OGMS_0000015	http://purl.obolibrary.org/obo/ICEMR_0000019	rfa	Other medical complaint	3.2.6.25		
http://purl.obolibrary.org/obo/SYMP_0000523	http://purl.obolibrary.org/obo/ICEMR_0000019	Anorexia	Anorexia	3.2.6.3	A lack or loss of appetite for food (as a medical condition)	A lack or loss of appetite for food (as a medical condition)
http://purl.obolibrary.org/obo/EUPATH_0000155	http://purl.obolibrary.org/obo/ICEMR_0000019	aduration	duration of anorexia	3.2.6.4		
http://purl.obolibrary.org/obo/SYMP_0000614	http://purl.obolibrary.org/obo/ICEMR_0000019	Cough	Cough	3.2.6.5		
http://purl.obolibrary.org/obo/EUPATH_0000156	http://purl.obolibrary.org/obo/ICEMR_0000019	cduration	duration of cough	3.2.6.6		
http://purl.obolibrary.org/obo/DOID_13250	http://purl.obolibrary.org/obo/ICEMR_0000019	Diarrhea	Diarrhea	3.2.6.7	Abnormally increased frequency of loose or watery bowel movements	Abnormally increased frequency of loose or watery bowel movements
http://purl.obolibrary.org/obo/EUPATH_0000157	http://purl.obolibrary.org/obo/ICEMR_0000019	dduration	duration of diarrhea	3.2.6.8		
http://purl.obolibrary.org/obo/HP_0000952	http://purl.obolibrary.org/obo/ICEMR_0000019	Jaundice	Jaundice	3.2.6.9	Yellow pigmentation of the skin or sclera due to bilirubin, the result of increased bilirubin in the bloodstream	Yellow pigmentation of the skin or sclera due to bilirubin, the result of increased bilirubin in the bloodstream
http://purl.obolibrary.org/obo/EUPATH_0000187	http://purl.obolibrary.org/obo/ICEMR_0000021	incidentmalaria	Malaria incident	3.3.1.1	A malaria episode that occur	A malaria episode that occur
http://purl.obolibrary.org/obo/EUPATH_0000038	http://purl.obolibrary.org/obo/ICEMR_0000021	anymalaria	Uncomplicated malaria	3.3.1.3	Diagnosis of malaria (no evidence of complicated malaria)	Diagnosis of malaria (no evidence of complicated malaria)
http://purl.obolibrary.org/obo/EUPATH_0000040	http://purl.obolibrary.org/obo/ICEMR_0000021	complicatedmalaria	Complicated malaria	3.3.1.4	Diagnosis of malaria with danger signs including inability to sit up or stand, vomiting, unable to breastfeed or drink and lethargy, or criteria for severe malaria.	Diagnosis of malaria with danger signs including inability to sit up or stand, vomiting, unable to breastfeed or drink and lethargy, or criteria for severe malaria.
http://purl.obolibrary.org/obo/EUPATH_0000036	http://purl.obolibrary.org/obo/ICEMR_0000021	cmcategory	Basis of complicated diagnosis	3.3.1.5		
http://purl.obolibrary.org/obo/EUPATH_0000046	http://purl.obolibrary.org/obo/ICEMR_0000021	sevmalcat	Severe malaria symptom(s)	3.3.1.6		
http://purl.obolibrary.org/obo/EUPATH_0000090	http://purl.obolibrary.org/obo/ICEMR_0000021	Malaria	Malaria - unspecified	3.3.1.7		
http://purl.obolibrary.org/obo/EUPATH_0000089	http://purl.obolibrary.org/obo/ICEMR_0000021	diagnosis of asymptomatic parasitemia	Asymptomatic parasitemia	3.3.1.8	Diagnosis based on presence of asexual parasites by microscopy in the absence of subjective fever or documented elevated temperature	Diagnosis based on presence of asexual parasites by microscopy in the absence of subjective fever or documented elevated temperature
http://purl.obolibrary.org/obo/OGMS_0000073	http://purl.obolibrary.org/obo/ICEMR_0000022	dxcode	Diagnosis at discharge	3.3.2		
http://purl.obolibrary.org/obo/EUPATH_0000110	http://purl.obolibrary.org/obo/ICEMR_0000023	temperature	Temperature	3.4.1	Temperature (in degrees Celsius)	Temperature (in degrees Celsius)
http://purl.obolibrary.org/obo/EUPATH_0000047	http://purl.obolibrary.org/obo/ICEMR_0000023	hemoglobin	Hemoglobin	3.4.2	Blood hemoglobin (g/dl)	Blood hemoglobin (g/dl)
http://purl.obolibrary.org/obo/TEMP_00002	http://purl.obolibrary.org/obo/ICEMR_0000023	malariacat	Blood smear status	3.4.3	Malaria cat	Malaria cat
http://purl.obolibrary.org/obo/EUPATH_0000048	http://purl.obolibrary.org/obo/ICEMR_0000023	Bsdich	Blood smear reading (+/-)	3.4.4	Asexual parasites in the blood, as determined by microscopy	Asexual parasites in the blood, as determined by microscopy
http://purl.obolibrary.org/obo/EUPATH_0000092	http://purl.obolibrary.org/obo/ICEMR_0000023	parasitedensity	Asexual parasite density	3.4.5	Number of asexual parasites in the blood (counts per microliter)	Number of asexual parasites in the blood (counts per microliter)
